Recipe,Spirits1,Spirits1c,Spirits1am,S1al,Spirits2,Spirits2c,Spirits2am,S2al,Spirits3,Spirits3c,Spirits3am,S3al,Lime Juice,Lime Juicec,Lime Juiceam,Juice1,Juice1c,Juice1am,J1sw,Juice2,Juice2c,Juice2am,J2sw,Syrup1,Syrup1c,Syrup1am,S1sw,Syrup2,Syrup2c,Syrup2am,S2sw,Bitter1,Bitter1c,Bitter1am,Bitter2,Bitter2c,Bitter2am,Other1,Other1c,O1sw,Other1am,Other2,Other2c,Other2am,O2sw,Other3,Other3c,Other3am,Liqueur 1,Liqueur 1c,Liqueur 1am,L1sw,L1al,Liqueur 2,Liqueur 2c,Liqueur 2am,L2sw,L2al,Liqueur 3,Liqueur 3c,Liqueur 3am,L3sw,L3al,Ice,Operation,OPindex,Decoration,Amount,Sour,Alcohol,Bitter,Glass,Flavor1,Flavor2,Flavor3,Flavor4,Flavor5
Gimlet,Gin,ffffe6,60,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,20,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Lemon Roll,80,-0.25,0.17625,0,Martini-Glass,n,n,n,n,n
Corpse Reviver2,Gin,ffffe6,25,0.47,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Cointreau,ffffe6,25,0.2,0.4,Lillet,f5f5f5,25,0,0.17,,,0,0,0,Regular,Shake,0.5,Absinthe Wash,75,0.066666667,0.173333333,0,Martini-Glass,Orange,n,n,n,n
Brandy Crusta,Brandy,54241f,60,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,10,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Luxardo Maraschino,420808,10,0.3,0.32,Cointreau,f5f5f5,10,0.2,0.4,,,0,0,0,Regular,Shake,0.5,Lemon Roll,90,-0.055555556,0.173333333,0,Hurricane-Glass,Orange,Cherry,n,n,n
Ice-Breaker,Tequila,edffef,30,0.4,,,0,0,,,0,0,Lime Juice,,0,Grapefruit,f7cde0,30,0.65,,,0,0,Grenadine Syrup,f54842,4.93,0.67,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Cointreau,ffffe6,15,0.2,0.4,,,0,0,0,,,0,0,0,Rock,Stir,0.75,Orange Roll,79.93,0.322821219,0.168897786,0,Rocks-Glass,Grapefruit,Orange,n,n,n
White Lady,Gin,ffffe6,40,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,15,,,0,0,,,0,0,Simple Syrup,ffffe6,4.93,0.6,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Cointreau,ffffe6,20,0.2,0.4,,,0,0,0,,,0,0,0,Regular,Shake,0.5,,79.93,-0.100613036,0.167646691,0,Martini-Glass,Orange,n,n,n,n
Last Word,Gin,ffffe6,25,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Luxardo Maraschino,420808,25,0.3,0.32,Chartreuse Green,edfd98,25,0.4,0.55,,,0,0,0,Regular,Shake,0.5,Lemon Roll/Orange Roll,100,-0.075,0.1675,0,Martini-Glass,Cherry,Herb,n,n,n
Commodore,Bourbon Whiskey,54241f,60,0.45,,,0,0,,,0,0,Lime Juice,f7ffd1,7.5,,,0,0,,,0,0,Grenadine Syrup,f54842,4.93,0.67,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Mozart White Chocolate Cream Liqueur,fcf67c,22,0.34,0.17,,,0,0,0,,,0,0,0,Regular,Shake,0.5,,94.43,0.034767553,0.16276607,0,Martini-Glass,Chocolate,Cream,n,n,n
Kamikaze,Vodka,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,20,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Cointreau,ffffe6,20,0.2,0.4,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Lemon Roll,100,-0.16,0.16,0,Martini-Glass,Orange,n,n,n,n
Choco-Martini,Vodka,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,Chocolate,,0,0,,,0,0,,,0,Mozart Chocolate Cream Liqueur,54241f,40,0.34,0.17,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Coco Powder,100,0.136,0.154,0,Martini-Glass,Chocolate,Cream,n,n,n
Vodka Lime,Vodka,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,20,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Lemon Wedge,80,-0.25,0.15,0,Rocks-Glass,n,n,n,n,n
