Recipe,Spirits1,Spirits1c,Spirits1am,S1al,Spirits2,Spirits2c,Spirits2am,S2al,Spirits3,Spirits3c,Spirits3am,S3al,Lime Juice,Lime Juicec,Lime Juiceam,Juice1,Juice1c,Juice1am,J1sw,Juice2,Juice2c,Juice2am,J2sw,Syrup1,Syrup1c,Syrup1am,S1sw,Syrup2,Syrup2c,Syrup2am,S2sw,Bitter1,Bitter1c,Bitter1am,Bitter2,Bitter2c,Bitter2am,Other1,Other1c,O1sw,Other1am,Other2,Other2c,Other2am,O2sw,Other3,Other3c,Other3am,Liqueur 1,Liqueur 1c,Liqueur 1am,L1sw,L1al,Liqueur 2,Liqueur 2c,Liqueur 2am,L2sw,L2al,Liqueur 3,Liqueur 3c,Liqueur 3am,L3sw,L3al,Ice,Operation,OPindex,Decoration,Amount,Sour,Alcohol,Bitter,Glass,Flavor1,Flavor2,Flavor3,Flavor4,Flavor5
Bloody Mary,Vodka,ffffff,45,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,15,Tomato,f54842,120,0.57,,,0,0,,,0,0,,,0,0,,,0,,,0,Tabasco Pepper Sauce,54241f,0,1.24,Worcestershire Sauce,f54842,1.24,0,Salt,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Filter,0.85,Olive/Lemon Peel/Parsley,182.48,0.292634809,0.083844805,0,Collins-Glass,Tomato,Pepper,Salt,n,n
Gin Buck,Gin,ffffe6,45,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,Ginger Soda,54241f,0.11,135,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Stir,0.75,Lemon Wedge,195,-0.000769231,0.081346154,0,Collins-Glass,Ginger,Bubbling,n,n,n
Irish Car Bomb,Irish Whiskey,54241f,15,0.45,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Baileys,fcf67c,15,0.31,0.17,Guinness Black Beer,54241f,200,0,0.042,,,0,0,0,Regular,Bomb,1,,230,0.020217391,0.076956522,0,Rocks-Glass,Cream,Black Beer,n,n,n
Salty Dog,Vodka,ffffff,30,0.4,,,0,0,,,0,0,Lime Juice,,0,Grapefruit,f7cde0,90,0.65,,,0,0,,,0,0,,,0,0,,,0,,,0,Salt,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Stir,0.75,,120,0.4875,0.075,0,Rocks-Glass,Grapefruit,Salt,n,n,n
Screwdriver,Vodka,ffffff,40,0.4,,,0,0,,,0,0,Lime Juice,,0,Orange,ed9d6c,120,0.58,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Stir,0.75,,160,0.435,0.075,0,Collins-Glass,Orange,n,n,n,n
Colorado Bulldog,Vodka,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,Cream,ffffff,0.05,15,Coca-Cola,54241f,200,0.59,,,0,Kahlua ,54241f,20,0.45,0.2,,,0,0,0,,,0,0,0,Rock,Stir,0.75,,295,0.433050847,0.071186441,0,Rocks-Glass,Cream,Bubbling,Coffee,n,n
Tequila Sunrise,Tequila,edffef,40,0.4,,,0,0,,,0,0,Lime Juice,,0,Orange,ed9d6c,120,0.58,,,0,0,Grenadine Syrup,f54842,10,0.67,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Stir,0.75,Lemon Roll,170,0.448823529,0.070588235,0,Collins-Glass,Orange,n,n,n,n
Green Eyes,Rum,ffffff,30,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,15,Pineapple,fcf67c,45,0.6,,,0,0,,,0,0,,,0,0,,,0,,,0,Coconut Milk,ffffff,0.05,15,,,0,0,,,0,Midori Melon,fcf67c,25,0.28,0.21,,,0,0,0,,,0,0,0,Regular,Squeeze,0.5,Orange Slice/Maraschino cherry,130,0.151923077,0.066346154,0,Hurricane-Glass,Pineapple,Coconut Milk,Melon,n,n
Gin Rickey,Gin,ffffe6,45,0.47,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,Soda,fffff0,0,200,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Stir,0.75,Lemon Slice,245,0,0.064744898,0,Rocks-Glass,Bubbling,n,n,n,n
Gin Tonic,Gin,ffffe6,45,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,Tonic,fffff0,0,190,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Stir,0.75,Lemon Wedge,250,-0.06,0.06345,0,Collins-Glass,Bubbling,n,n,n,n
Pina Colada,Rum,ffffff,45,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,15,Pineapple,fcf67c,60,0.6,,,0,0,Simple Syrup,ffffe6,4.93,0.6,,,0,0,,,0,,,0,Coconut Milk,ffffff,0.05,25,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Pineapple Slice/ Maraschino cherry,149.93,0.168131795,0.060028013,0,Hurricane-Glass,Pineapple,Coconut Milk,n,n,n
Mojito,Rum,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,20,,,0,0,,,0,0,Simple Syrup,ffffe6,15,0.6,,,0,0,,,0,,,0,Mint Leaves,,0,0,Soda,fffff0,200,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Crashed,Stir,0.75,Mint Leaves,310,-0.035483871,0.058064516,0,Collins-Glass,Mint,Bubbling,n,n,n
Vodka Tonic,Vodka,ffffff,45,0.4,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,Tonic,fffff0,0,190,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Stir,0.75,Lemon Slice/ Lemon Roll,235,0,0.057446809,0,Collins-Glass,Bubbling,n,n,n,n
Tom Collins,Gin,ffffe6,45,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,15,,,0,0,,,0,0,Simple Syrup,ffffe6,15,0.6,,,0,0,,,0,,,0,Soda,fffff0,0,135,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Orange Roll/Maraschino cherry,210,-0.028571429,0.050357143,0,Collins-Glass,Bubbling,n,n,n,n
Sea Breeze,Vodka,ffffff,45,0.4,,,0,0,,,0,0,Lime Juice,,0,Cranberry,9763b0,60,0.63,Grapefruit,f7cde0,60,0.65,,,0,0,,,0,0,,,0,,,0,Tonic,fffff0,0,30,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Grapefruit Roll,195,0.393846154,0.046153846,0,Hurricane-Glass,Cranberry,Grapefruit,Bubbling,n,n
Romos Gin Fizz,Gin,ffffe6,60,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,30,,,0,0,,,0,0,Simple Syrup,ffffe6,3,0.6,,,0,0,,,0,,,0,Orange Flower Water ,fffff0,0,59.1,Eggwhite,ffffff,30,0,Soda,,200,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Orange Roll,382.1,-0.073802669,0.036901335,0,Collins-Glass,Orange,Cream,Bubbling,n,n
